Train,Test,AUC_mean,AUC_std,CI_lo,CI_hi,N_train,N_test
community,company,0.6973639819688505,0.006108707322331075,0.6855101813916833,0.7090112294706961,5298,9510
community,non-profit,0.71502110526688,0.014114101903538056,0.6871576225559842,0.7424875171305653,5298,2317
community,organization or individual,0.6911059370998802,0.005392510574367744,0.6803660120426538,0.7018380974710506,5298,40472
community,university,0.6346081635149572,0.015944322609994514,0.6021950508751088,0.6651970096690555,5298,2402
company,community,0.697734409032458,0.01119283830886683,0.6772153994315867,0.7194297541875727,9510,5298
company,non-profit,0.7152781930184703,0.013882176862952636,0.6875939416508087,0.7433666539311985,9510,2317
company,organization or individual,0.7098284849185063,0.004972798861046757,0.7004274852944873,0.7193616109720208,9510,40472
company,university,0.6503815709921171,0.017371595057880204,0.6157161172523314,0.6819649538535921,9510,2402
non-profit,community,0.6537238416022574,0.01085327021356751,0.6318799482319549,0.6741466463185719,2317,5298
non-profit,company,0.701270402834237,0.005865370418439871,0.6892703551990388,0.7125802964386507,2317,9510
non-profit,organization or individual,0.6274446660159372,0.005307557445275739,0.6174085376577982,0.6383883894244744,2317,40472
non-profit,university,0.6148024801101698,0.01818781045607625,0.5797359416966704,0.6496902060749496,2317,2402
organization or individual,community,0.7097139949229341,0.010487463725135893,0.6893850407312504,0.7301162818344853,40472,5298
organization or individual,company,0.6704319291862962,0.006360915136816036,0.6579204318521369,0.6832057876222668,40472,9510
organization or individual,non-profit,0.7061135787705689,0.014021431951826984,0.6787287238832229,0.7346461237835576,40472,2317
organization or individual,university,0.6409699605906621,0.017526076961001204,0.6059993292351465,0.6762018078592708,40472,2402
university,community,0.646763015108936,0.011212982488217336,0.6251412489198125,0.6676581731775394,2402,5298
university,company,0.6481993992010662,0.006178711632787228,0.6358323398189788,0.6598793174992847,2402,9510
university,non-profit,0.6505746306468289,0.014559732361454617,0.6217845490469365,0.6782016800709793,2402,2317
university,organization or individual,0.6322716306829682,0.005829561013942592,0.6206176471924363,0.6437333500571647,2402,40472
