Feature,MI_Score
model_size_bytes,0.03112513191543398
word_count_content,0.026481116017123663
num_arxiv,0.019072881212769843
num_github_links,0.015206364025485364
num_code_blk,0.01488965706233003
has_pipeline_name,0.01487323085760095
has_bibtex,0.014008519454857815
has_config,0.012857981744262448
word_count_yaml,0.012242840995498216
has_supported_additional_frameworks_Libraries,0.012154245613860803
num_inline_code,0.0108624569240372
num_root_file,0.00875880561361475
has_safetensors,0.008702828490033676
num_table,0.00833286097290764
num_huggingface_links,0.0059964530204312805
has_widgetData,0.00565346109741105
has_license,0.005365806024494546
num_lists,0.0038664541854858125
num_modules,0.0032286681969788678
has_quantized,0.0026201597900210594
has_model_index_result,0.0009986876253202936
has_space,0.0006101472636053096
num_static_img,0.0002255138149684921
has_video,0.0
num_animated_img,0.0
match_huggingface_dataset,0.0
