feature,MI_Score
model_size_bytes,0.026786012026504658
word_count_content,0.024844201546431854
num_arxiv,0.015401421447879038
num_code_blk,0.01208206893015995
num_inline_code,0.011005764210403779
num_github_links,0.010939716235295327
has_bibtex,0.010461916331512278
has_pipeline_name,0.010284059693440595
has_license,0.009289370263659391
has_quantized,0.008159563367579503
num_table,0.007225641656353643
num_huggingface_links,0.0069510982792928555
has_config,0.0066725773774869435
num_root_file,0.006244502686866271
has_primary_implementation_library_name,0.005955834959689987
word_count_yaml,0.005773842679738461
num_static_img,0.005518662501565963
num_modules,0.0052381006341373215
num_lists,0.0045593156701562165
has_widgetData,0.004499520414354974
has_safetensors,0.004026281709461177
has_video,0.0012049433406406962
has_model_index_result,0.0009196588312379017
has_space,0.0006520915199166311
num_animated_img,0.0
match_huggingface_dataset,0.0
